songID|songName|songLyric|Author
54450|ĐÔI MẮT NGƯỜI XƯA|Chuyện tình của tôi tan vỡ từ lâu rồi, tưởng không bao giờ còn nhớ...|Ngân Giang
56342|DUYÊN PHẬN|Phận là con gái chưa một lần yêu ai, nhìn về tương lai mà thấy như…|Thái Thịnh
53801|TA ĐI TÌM EM|Thành Đô Lâm An Đại Lý ta tìm nàng…|Kim Minh Huy
57021|EM NHỚ ANH|Từng ngày dài trôi qua chỉ còn lại nỗi nhớ....|Only C
57834|MIỀN TÂY QUÊ TUI|Miền tây quê hương ai về ai nhớ ai thương?vừa qua Long...|Cao Minh Thu
53535|CẮN RỨT|Đã nhiều lần muốn nói chia tay cùng em từ lâu…|Quang Huy
54908|CÁM ƠN TÌNH YÊU|Cám ơn người vì một tình yêu tha thiết...|Vĩnh Tâm
56706|ĐỒNG XANH|Đồng xanh gió ru êm và mây nâng bước chân em về...|Dương Khắc Linh
58433|CƠN MƯA QUÁ KHỨ|Gió cuốn cơn mưa chìu, qua lối xưa em về, ướt đẩm...|Bảo Thạch
56030|CỐ QUÊN|Cố quên đi một hình bóng dẫu đôi tay vẫn không thể buông...|Khởi My
50503|DÁNG EM|Ngoài kia bao nhiêu câu ca…|Nguyễn Văn Thanh Nhã
55784|SAO TA LẶNG IM|Có lẽ đêm nay là giây phút cuối rồi, đến hết đêm nay...|Nguyễn Hồng Thuận
58468|GẠT ĐI NƯỚC MẮT|Bình minh lên từng ánh nắng đang xuyên qua bóng cây Cũng là...|Bảo Thy
52052|MÂY VÀ NÚI|Hơ hơ hơ… xưa mây vẫn hay thường lang thang ngao du...|Vĩnh Tâm
55062|NGÔI SAO LẺ LOI|Đêm nay anh ngồi đây, nhìn trời sao anh nhớ em...|Lê Huy
51976|BÀI THÁNH CA BUỒN|Bài thánh ca đó còn nhớ không em Noel năm nào chúng...|Nguyễn Vũ
59547|THU CUỐI|Cho bao nhiêu yêu thương nay bay xa... Hoen đôi mi thu...|Mr. T - Yanbi
52041|KIẾP ĐỎ ĐEN|Giờ ta chẳng còn chi mai trắng tay mà thôi…|Duy Mạnh
56103|KHÓC|Đã bao nhiêu lần anh khóc trong mơ...|Khắc Việt
57509|DUYÊN PHẬN Ý TRỜI|Đên đây thì cả hai chắc phải dừng lại|Khánh Đơn
57285|CÒN LẠI GÌ SAU CƠN MƯA|Nhớ không em bao nhiêu ngày xưa|Bảo Thạch
54146|XÓA|Phải làm sao quên nụ hôn cuối cùng mình trao đến nhau...|Phúc Trường
56664|CHỈ VẬY THÔI|Anh chưa từng nói sẽ yêu em suốt đời, anh chưa từng nghĩ...|Phạm Bảo Nam
57490|CHUNG MỘT NHÀ|Thênh thang đôi chân nắng mưa vui buồn|Anh Khanh
53397|CON ĐƯỜNG MÀU XANH|Này người yêu xin quay mặt đi, đã hết yêu thương nhau rồi...|Trịnh Nam Sơn
50233|VÌ SAO|Đã nói với em buổi hôm ấy đến với em ...|Từ Huy
52765|KHÔNG CẦN PHẢI HỨA ĐÂU EM|Ừ thôi em yêu ơi, ngày mai ta xa nhau rồi...|Phạm Khánh Hưng
54226|EM MUỐN|Anh đôi khi em muốn anh cười, bên em đi trong chiều...|Nguyễn Đức Cường
58642|BẠC TRẮNG TÌNH ĐỜI - REMIX|Ngày mai tôi sẽ cố quên người Cho dù em có quay về...|Minh Khang
55077|NHƯ VẬY NHÉ|Cười đi em, đừng khóc nhé...|Khắc Việt
54834|TÌM|Có những khi ta buồn về đâu người ơi phía chân trời...|Hồng Ân
57869|NGƯỜI NÀO ĐÓ|Tình cờ mình quen biết Vào 1 ngày trời xanh nắng Buông xuôi nơi...|Nguyễn Thanh Tuấn
50972|HÀN MẠC TỬ|Ai mua trăng tôi bán trăng cho…|Trần Thiện Thanh
55420|TẬP QUÊN|Tôi đã hứa rằng tôi sẽ quên, quên đi bóng hình xưa của em…|Phạm Trưởng
53686|CHIẾC KHĂN GIÓ ẤM|Ở bên kia bầu trời về đêm chắc đang lạnh dần…|Nguyễn Văn Chung
51005|ĐÊM CUỐI|Người ơi có nhớ có thương…|Thanh Sơn
50579|GIÃ TỪ|Tuổi đời chân đơn côi...|Tô Thanh Tùng
55718|BÌNH YÊN NHÉ|Chiều nay trên phố mưa bay, có một người tiễn đưa một người...|Khắc Việt
